spoken_language_type_id,spoken_language_name
1,Latviešu
2,Latin
3,Português
4,Íslenska
5,euskera
6,English
7,ozbek
8,Pусский
9,Somali
10,తెలుగు
11,shqip
12,Bosanski
13,Esperanto
14,беларуская мова
15,ქართული
16,Nederlands
17,עִבְרִית
18,العربية
19,ਪੰਜਾਬੀ
20,isiZulu
21,Malti
22,Èʋegbe
23,Český
24,Lietuvių
25,Galego
26,български език
27,Bokmål
28,Tiếng Việt
29,Wolof
30,Srpski
31,தமிழ்
32,Український
33,Italiano
34,Hrvatski
35,Polski
36,Èdè Yorùbá
37,suomi
38,广州话 / 廣州話
39,Kinyarwanda
40,Français
41,қазақ
42,हिन्दी
43,Gaeilge
44,Norsk
45,Azərbaycan
46,සිංහල
47,پښتو
48,Bahasa melayu
49,Slovenščina
50,普通话
51,Cymraeg
52,Română
53,日本語
54,Slovenčina
55,Kiswahili
56,Afrikaans
57,svenska
58,Dansk
59,ελληνικά
60,No Language
61,বাংলা
62,Deutsch
63,Català
64,Eesti
65,Türkçe
66,Magyar
67,?????
68,فارسی
69,Bahasa indonesia
70,اردو
71,ภาษาไทย
72,한국어/조선말
73,Español
74,Hausa
